Well-known ID;Name;prj
2010;NAD_1927_CGQ77_MTM_4_SCoPQ;"PROJCS[""NAD_1927_CGQ77_MTM_4_SCoPQ"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-61.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2011;NAD_1927_CGQ77_MTM_5_SCoPQ;"PROJCS[""NAD_1927_CGQ77_MTM_5_SCoPQ"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-64.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2012;NAD_1927_CGQ77_MTM_6_SCoPQ;"PROJCS[""NAD_1927_CGQ77_MTM_6_SCoPQ"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-67.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2013;NAD_1927_CGQ77_MTM_7_SCoPQ;"PROJCS[""NAD_1927_CGQ77_MTM_7_SCoPQ"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-70.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2014;NAD_1927_CGQ77_MTM_8_SCoPQ;"PROJCS[""NAD_1927_CGQ77_MTM_8_SCoPQ"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-73.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2015;NAD_1927_CGQ77_MTM_9_SCoPQ;"PROJCS[""NAD_1927_CGQ77_MTM_9_SCoPQ"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-76.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2016;NAD_1927_CGQ77_MTM_10_SCoPQ;"PROJCS[""NAD_1927_CGQ77_MTM_10_SCoPQ"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-79.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2017;NAD_1927_DEF_1976_MTM_8;"PROJCS[""NAD_1927_DEF_1976_MTM_8"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-73.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2018;NAD_1927_DEF_1976_MTM_9;"PROJCS[""NAD_1927_DEF_1976_MTM_9"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-76.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2019;NAD_1927_DEF_1976_MTM_10;"PROJCS[""NAD_1927_DEF_1976_MTM_10"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-79.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2020;NAD_1927_DEF_1976_MTM_11;"PROJCS[""NAD_1927_DEF_1976_MTM_11"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-82.5],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2021;NAD_1927_DEF_1976_MTM_12;"PROJCS[""NAD_1927_DEF_1976_MTM_12"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-81.0],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2022;NAD_1927_DEF_1976_MTM_13;"PROJCS[""NAD_1927_DEF_1976_MTM_13"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-84.0],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2023;NAD_1927_DEF_1976_MTM_14;"PROJCS[""NAD_1927_DEF_1976_MTM_14"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-87.0],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2024;NAD_1927_DEF_1976_MTM_15;"PROJCS[""NAD_1927_DEF_1976_MTM_15"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-90.0],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2025;NAD_1927_DEF_1976_MTM_16;"PROJCS[""NAD_1927_DEF_1976_MTM_16"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-93.0],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2026;NAD_1927_DEF_1976_MTM_17;"PROJCS[""NAD_1927_DEF_1976_MTM_17"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",304800.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-96.0],PARAMETER[""Scale_Factor"",0.9999],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2027;NAD_1927_DEF_1976_UTM_Zone_15N;"PROJCS[""NAD_1927_DEF_1976_UTM_Zone_15N"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-93.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2028;NAD_1927_DEF_1976_UTM_Zone_16N;"PROJCS[""NAD_1927_DEF_1976_UTM_Zone_16N"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-87.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2029;NAD_1927_DEF_1976_UTM_Zone_17N;"PROJCS[""NAD_1927_DEF_1976_UTM_Zone_17N"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-81.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2030;NAD_1927_DEF_1976_UTM_Zone_18N;"PROJCS[""NAD_1927_DEF_1976_UTM_Zone_18N"",GEOGCS[""GCS_NAD_1927_Definition_1976"",DATUM[""D_NAD_1927_Definition_1976"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-75.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2031;NAD_1927_CGQ77_UTM_Zone_17N;"PROJCS[""NAD_1927_CGQ77_UTM_Zone_17N"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-81.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2032;NAD_1927_CGQ77_UTM_Zone_18N;"PROJCS[""NAD_1927_CGQ77_UTM_Zone_18N"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-75.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2033;NAD_1927_CGQ77_UTM_Zone_19N;"PROJCS[""NAD_1927_CGQ77_UTM_Zone_19N"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-69.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2034;NAD_1927_CGQ77_UTM_Zone_20N;"PROJCS[""NAD_1927_CGQ77_UTM_Zone_20N"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-63.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2035;NAD_1927_CGQ77_UTM_Zone_21N;"PROJCS[""NAD_1927_CGQ77_UTM_Zone_21N"",GEOGCS[""GCS_NAD_1927_CGQ77"",DATUM[""D_NAD_1927_CGQ77"",SPHEROID[""Clarke_1866"",6378206.4,294.9786982]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-57.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2036;NAD_1983_CSRS_New_Brunswick_Stereographic;"PROJCS[""NAD_1983_CSRS_New_Brunswick_Stereographic"",GEOGCS[""GCS_North_American_1983_CSRS"",DATUM[""D_North_American_1983_CSRS"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Double_Stereographic""],PARAMETER[""False_Easting"",2500000.0],PARAMETER[""False_Northing"",7500000.0],PARAMETER[""Central_Meridian"",-66.5],PARAMETER[""Scale_Factor"",0.999912],PARAMETER[""Latitude_Of_Origin"",46.5],UNIT[""Meter"",1.0]]"
2037;NAD_1983_CSRS_UTM_Zone_19N;"PROJCS[""NAD_1983_CSRS_UTM_Zone_19N"",GEOGCS[""GCS_North_American_1983_CSRS"",DATUM[""D_North_American_1983_CSRS"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-69.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2038;NAD_1983_CSRS_UTM_Zone_20N;"PROJCS[""NAD_1983_CSRS_UTM_Zone_20N"",GEOGCS[""GCS_North_American_1983_CSRS"",DATUM[""D_North_American_1983_CSRS"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-63.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2039;Israel_TM_Grid;"PROJCS[""Israel_TM_Grid"",GEOGCS[""GCS_Israel"",DATUM[""D_Israel"",SPHEROID[""GRS_1980"",6378137.0,298.257222101]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",219529.584],PARAMETER[""False_Northing"",626907.39],PARAMETER[""Central_Meridian"",35.20451694444445],PARAMETER[""Scale_Factor"",1.0000067],PARAMETER[""Latitude_Of_Origin"",31.73439361111111],UNIT[""Meter"",1.0]]"
2040;Locodjo_1965_UTM_Zone_30N;"PROJCS[""Locodjo_1965_UTM_Zone_30N"",GEOGCS[""GCS_Locodjo_1965"",DATUM[""D_Locodjo_1965"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-3.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2041;Abidjan_1987_UTM_Zone_30N;"PROJCS[""Abidjan_1987_UTM_Zone_30N"",GEOGCS[""GCS_Abidjan_1987"",DATUM[""D_Abidjan_1987"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-3.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
2042;Locodjo_1965_UTM_Zone_29N;"PROJCS[""Locodjo_1965_UTM_Zone_29N"",GEOGCS[""GCS_Locodjo_1965"",DATUM[""D_Locodjo_1965"",SPHEROID[""Clarke_1880_RGS"",6378249.145,293.465]],PRIMEM[""Greenwich"",0.0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Transverse_Mercator""],PARAMETER[""False_Easting"",500000.0],PARAMETER[""False_Northing"",0.0],PARAMETER[""Central_Meridian"",-9.0],PARAMETER[""Scale_Factor"",0.9996],PARAMETER[""Latitude_Of_Origin"",0.0],UNIT[""Meter"",1.0]]"
